Bed_Number,beds_1A,gsize_1A,facies_1A,lith_1A,amal_1A,beds_1B,gsize_1B,facies_1B,lith_1B,amal_1B,beds_1C,gsize_1C,facies_1C,lith_1C,amal_1C,beds_2A,gsize_2A,facies_2A,lith_2A,amal_2A,beds_3A,gsize_3A,facies_3A,lith_3A,amal_3A,beds_3B,gsize_3B,facies_3B,lith_3B,amal_3B,beds_4A,gsize_4A,facies_4A,lith_4A,amal_4A,beds_5A,gsize_5A,facies_5A,lith_5A,amal_5A,beds_5B,gsize_5B,facies_5B,lith_5B,amal_5B,beds_5C,gsize_5C,facies_5C,lith_5C,amal_5C
98,,,,,,,,,,,25,3,4,1,1,,,,,,2,5,3,2,0,,,,,,15,2,1,1,0,,,,,,,,,,,4,8,4,2,0
99,,,,,,,,,,,65,2,1,1,0,,,,,,81,1,1,1,0,,,,,,40,1,1,1,0,,,,,,,,,,,125,2,1,1,0
100,,,,,,,,,,,80,4,4,1,0,,,,,,6,3,3,1,0,,,,,,11,10,6,1,0,,,,,,,,,,,24,3,3,1,0
101,,,,,,,,,,,30,1,1,1,0,,,,,,3,5,3,2,0,,,,,,13,10,6,1,0,,,,,,,,,,,2,1,1,1,0
102,,,,,,,,,,,20,3,4,1,0,,,,,,45,2,1,1,0,,,,,,4,5,3,1,0,,,,,,,,,,,7,3,3,1,1
103,,,,,,,,,,,2,2,1,1,0,,,,,,13,3,4,1,0,,,,,,5,6,3,2,0,,,,,,,,,,,8,3,3,1,1
104,,,,,,,,,,,40,3,4,1,0,,,,,,44,2,1,1,0,,,,,,21,3,4,1,0,,,,,,,,,,,15,3,4,1,1
105,,,,,,,,,,,14,2,1,1,0,,,,,,6,3,3,1,0,,,,,,24,2,1,1,0,,,,,,,,,,,34,2,1,1,0
106,,,,,,,,,,,30,3,4,1,0,,,,,,2,5,3,2,0,,,,,,16,3,4,1,0,,,,,,,,,,,6,6,3,2,0
107,,,,,,,,,,,,,,,,,,,,,37,3,4,1,0,,,,,,5,4,3,1,0,,,,,,,,,,,20,2,1,1,0
108,,,,,,,,,,,,,,,,,,,,,122,2,1,1,0,,,,,,20,3,4,1,0,,,,,,,,,,,5,6,3,2,0
109,,,,,,,,,,,,,,,,,,,,,1,6,3,2,0,,,,,,10,2,1,1,0,,,,,,,,,,,20,2,1,1,0
110,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,,,,,,13,3,4,1,0,,,,,,,,,,,8,5,3,1,1
111,,,,,,,,,,,,,,,,,,,,,6,5,3,2,0,,,,,,14,3,4,1,0,,,,,,,,,,,9,5,3,1,1
112,,,,,,,,,,,,,,,,,,,,,35,1,1,1,0,,,,,,4,6,3,2,0,,,,,,,,,,,7,5,3,1,1
113,,,,,,,,,,,,,,,,,,,,,11,3,4,1,0,,,,,,21,3,4,1,0,,,,,,,,,,,7,4,3,1,1
114,,,,,,,,,,,,,,,,,,,,,11,1,1,1,0,,,,,,22,2,1,1,0,,,,,,,,,,,58,1,1,1,0
115,,,,,,,,,,,,,,,,,,,,,5,6,3,2,0,,,,,,16,3,4,1,1,,,,,,,,,,,8,6,3,2,0
116,,,,,,,,,,,,,,,,,,,,,25,3,4,1,0,,,,,,22,3,4,1,1,,,,,,,,,,,38,1,1,1,0
117,,,,,,,,,,,,,,,,,,,,,2,4,3,2,0,,,,,,10,3,4,1,1,,,,,,,,,,,5,5,3,1,0
118,,,,,,,,,,,,,,,,,,,,,22,3,4,1,0,,,,,,20,4,4,1,1,,,,,,,,,,,7,1,1,1,0
119,,,,,,,,,,,,,,,,,,,,,280,2,7,2,0,,,,,,200,1,1,1,0,,,,,,,,,,,6,5,3,1,0
120,,,,,,,,,,,,,,,,,,,,,13,5,2,1,0,,,,,,15,2,1,1,0,,,,,,,,,,,11,1,1,1,0
121,,,,,,,,,,,,,,,,,,,,,58,2,1,1,0,,,,,,17,5,4,1,1,,,,,,,,,,,6,5,1,2,0
122,,,,,,,,,,,,,,,,,,,,,1,5,3,2,0,,,,,,35,5,4,1,1,,,,,,,,,,,44,3,7,2,0
123,,,,,,,,,,,,,,,,,,,,,67,1,1,1,0,,,,,,18,4,4,1,1,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,4,6,3,2,0,,,,,,8,4,3,1,1,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,63,1,1,1,0,,,,,,3,6,3,2,1,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,63,3,4,1,0,,,,,,62,2,1,1,0,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,52,1,1,1,0,,,,,,20,3,4,1,1,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,8,3,3,1,0,,,,,,15,3,4,1,1,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,28,1,1,1,0,,,,,,13,1,1,1,0,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,5,3,3,1,0,,,,,,16,10,6,1,0,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,19,1,1,1,0,,,,,,7,6,3,2,0,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,,1,5,3,2,0,,,,,,52,2,4,1,0,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,16,3,4,1,1,,,,,,6,3,3,1,0,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,,9,3,3,1,1,,,,,,2,7,3,2,0,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,41,1,1,1,0,,,,,,80,2,1,1,0,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,11,3,4,1,0,,,,,,10,3,4,1,0,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,18,1,1,1,0,,,,,,76,2,1,1,0,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,11,2,1,1,1,,,,,,6,3,3,1,0,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,11,2,1,1,1,,,,,,20,1,1,1,0,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,0.5,1,1,1,0,,,,,,13,3,4,1,0,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,11,2,1,1,1,,,,,,6,4,3,1,0,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,5,5,3,1,1,,,,,,2,6,3,2,0,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,8,1,1,1,0,,,,,,0.5,6,3,2,0,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,2,5,3,1,0,,,,,,0.5,6,3,2,0,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,11,3,1,1,0,,,,,,0.5,6,3,2,0,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,30,1,1,1,0,,,,,,0.5,6,3,2,0,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,7,5,3,1,1,,,,,,0.5,6,3,2,0,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,9,5,3,1,1,,,,,,12,3,4,1,0,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,,8,3,3,1,0,,,,,,22,3,4,1,0,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,100,1,1,1,0,,,,,,10,3,4,1,0,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,,,,3,5,3,2,0,,,,,,2,7,3,2,0,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,9,1,1,1,0,,,,,,2,7,3,2,0,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,9,4,3,1,1,,,,,,1,7,3,2,0,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,10,4,4,1,1,,,,,,34,2,1,1,0,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,11,4,4,1,1,,,,,,17,3,4,1,0,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,22,4,4,1,1,,,,,,8,3,3,1,0,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,,11,5,4,1,1,,,,,,14,2,1,1,0,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,2,6,3,2,0,,,,,,13,3,4,1,0,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,119,2,1,1,0,,,,,,22,2,1,1,0,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,,20,4,4,1,0,,,,,,11,3,4,1,0,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,,9,1,1,1,0,,,,,,15,4,4,1,0,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,4,5,3,2,0,,,,,,12,3,4,1,0,,,,,,,,,,,,,,,
