Bed_Number,beds_1A,gsize_1A,amal_1A,beds_1B,gsize_1B,amal_1B,beds_1C,gsize_1C,amal_1C,beds_2A,gsize_2A,amal_2A,beds_3A,gsize_3A,amal_3A,beds_3B,gsize_3B,amal_3B,beds_4A,gsize_4A,amal_4A
353,,,,,,,,,,,,,10,4,0,,,,,,
354,,,,,,,,,,,,,91,1,0,,,,,,
355,,,,,,,,,,,,,25,3,0,,,,,,
356,,,,,,,,,,,,,12,6,0,,,,,,
357,,,,,,,,,,,,,100,1,0,,,,,,
358,,,,,,,,,,,,,1.9,5,0,,,,,,
359,,,,,,,,,,,,,131,1,0,,,,,,
360,,,,,,,,,,,,,2,5,0,,,,,,
361,,,,,,,,,,,,,60,1,0,,,,,,
362,,,,,,,,,,,,,13,3,0,,,,,,
363,,,,,,,,,,,,,6,1,0,,,,,,
364,,,,,,,,,,,,,9,3,0,,,,,,
365,,,,,,,,,,,,,1,5,0,,,,,,
366,,,,,,,,,,,,,3,3,0,,,,,,
367,,,,,,,,,,,,,2,1,0,,,,,,
368,,,,,,,,,,,,,5,3,0,,,,,,
369,,,,,,,,,,,,,20,1,0,,,,,,
370,,,,,,,,,,,,,6,4,0,,,,,,
371,,,,,,,,,,,,,74,1,0,,,,,,
372,,,,,,,,,,,,,15,5,0,,,,,,
373,,,,,,,,,,,,,7,1,0,,,,,,
374,,,,,,,,,,,,,10,4,1,,,,,,
375,,,,,,,,,,,,,15,4,1,,,,,,
376,,,,,,,,,,,,,100,1,0,,,,,,
377,,,,,,,,,,,,,1,5,0,,,,,,
378,,,,,,,,,,,,,8,1,0,,,,,,
379,,,,,,,,,,,,,2,4,0,,,,,,
380,,,,,,,,,,,,,6,1,0,,,,,,
381,,,,,,,,,,,,,1,4,0,,,,,,
382,,,,,,,,,,,,,15,1,0,,,,,,
383,,,,,,,,,,,,,6,3,0,,,,,,
384,,,,,,,,,,,,,0.5,1,0,,,,,,
385,,,,,,,,,,,,,44,3,0,,,,,,
386,,,,,,,,,,,,,5,1,0,,,,,,
387,,,,,,,,,,,,,24,4,0,,,,,,
388,,,,,,,,,,,,,8,1,0,,,,,,
389,,,,,,,,,,,,,6,4,0,,,,,,
390,,,,,,,,,,,,,110,1,0,,,,,,
391,,,,,,,,,,,,,6,4,0,,,,,,
392,,,,,,,,,,,,,60,1,0,,,,,,
393,,,,,,,,,,,,,1,5,0,,,,,,
394,,,,,,,,,,,,,1,1,0,,,,,,
395,,,,,,,,,,,,,38,3,0,,,,,,
396,,,,,,,,,,,,,6,1,0,,,,,,
397,,,,,,,,,,,,,15,4,0,,,,,,
398,,,,,,,,,,,,,28,1,0,,,,,,
399,,,,,,,,,,,,,6,2,0,,,,,,
400,,,,,,,,,,,,,7,1,0,,,,,,
401,,,,,,,,,,,,,17,3,0,,,,,,
402,,,,,,,,,,,,,188,1,0,,,,,,
403,,,,,,,,,,,,,9,4,0,,,,,,
404,,,,,,,,,,,,,125,1,0,,,,,,
405,,,,,,,,,,,,,16,3,0,,,,,,
406,,,,,,,,,,,,,65,1,0,,,,,,
407,,,,,,,,,,,,,6,3,0,,,,,,
408,,,,,,,,,,,,,80,1,0,,,,,,
409,,,,,,,,,,,,,5,3,0,,,,,,
410,,,,,,,,,,,,,6,1,0,,,,,,
411,,,,,,,,,,,,,3,3,0,,,,,,
412,,,,,,,,,,,,,10,1,0,,,,,,
413,,,,,,,,,,,,,4,3,0,,,,,,
414,,,,,,,,,,,,,15,1,0,,,,,,
415,,,,,,,,,,,,,6,3,0,,,,,,
416,,,,,,,,,,,,,256,1,0,,,,,,
417,,,,,,,,,,,,,172,2,0,,,,,,
418,,,,,,,,,,,,,15,3,0,,,,,,
419,,,,,,,,,,,,,9,1,0,,,,,,
420,,,,,,,,,,,,,12,3,0,,,,,,
421,,,,,,,,,,,,,29,1,0,,,,,,
422,,,,,,,,,,,,,2.5,3,0,,,,,,
423,,,,,,,,,,,,,3,1,0,,,,,,
424,,,,,,,,,,,,,2.2,3,0,,,,,,
425,,,,,,,,,,,,,9,1,0,,,,,,
426,,,,,,,,,,,,,5,3,0,,,,,,
427,,,,,,,,,,,,,4,1,0,,,,,,
428,,,,,,,,,,,,,6,3,0,,,,,,
429,,,,,,,,,,,,,1,1,0,,,,,,
430,,,,,,,,,,,,,3,3,0,,,,,,
431,,,,,,,,,,,,,2,1,0,,,,,,
432,,,,,,,,,,,,,2,3,0,,,,,,
433,,,,,,,,,,,,,44,1,0,,,,,,
434,,,,,,,,,,,,,1.6,4,0,,,,,,
